lat,lon,pop,geoid,name,state
33.701242,-84.767314,144237,13097,Douglas County,GA
31.324191,-84.906723,10854,13099,Early County,GA
30.714008,-82.897376,3697,13101,Echols County,GA
32.361688,-81.343355,64769,13103,Effingham County,GA
34.116413,-82.841909,19637,13105,Elbert County,GA
32.5911,-82.299763,22768,13107,Emanuel County,GA
32.153083,-81.890153,10774,13109,Evans County,GA
34.866543,-84.317331,25319,13111,Fannin County,GA
33.412717,-84.493941,119194,13113,Fayette County,GA
34.263692,-85.213685,98584,13115,Floyd County,GA
34.225143,-84.127408,251283,13117,Forsyth County,GA
34.375266,-83.227532,23424,13119,Franklin County,GA
33.790034,-84.468182,1066710,13121,Fulton County,GA
34.690506,-84.454624,31353,13123,Gilmer County,GA
33.227491,-82.606913,2884,13125,Glascock County,GA
31.21271,-81.49645,84499,13127,Glynn County,GA
34.509667,-84.873862,57544,13129,Gordon County,GA
30.875908,-84.24508,26236,13131,Grady County,GA
33.576704,-83.166625,18915,13133,Greene County,GA
33.958756,-84.025735,957062,13135,Gwinnett County,GA
34.634392,-83.525875,46031,13137,Habersham County,GA
34.317569,-83.8185,203136,13139,Hall County,GA
33.26922,-83.000465,8735,13141,Hancock County,GA
33.795165,-85.220063,29919,13143,Haralson County,GA
32.731549,-84.912432,34668,13145,Harris County,GA
34.348733,-82.96329,25828,13147,Hart County,GA
33.291347,-85.137886,11412,13149,Heard County,GA
33.452947,-84.154021,240712,13151,Henry County,GA
32.458287,-83.662522,163633,13153,Houston County,GA
31.604306,-83.277037,9666,13155,Irwin County,GA
34.130905,-83.562557,75907,13157,Jackson County,GA
33.316981,-83.689151,14588,13159,Jasper County,GA
31.811615,-82.636825,14779,13161,Jeff Davis County,GA
33.058176,-82.420004,15709,13163,Jefferson County,GA
32.794563,-81.971524,8674,13165,Jenkins County,GA
32.694584,-82.66397,9189,13167,Johnson County,GA
33.021664,-83.562196,28347,13169,Jones County,GA
33.07444,-84.146689,18500,13171,Lamar County,GA
31.038197,-83.063164,9877,13173,Lanier County,GA
32.39322,-82.926317,49570,13175,Laurens County,GA
31.818419,-84.146681,33163,13177,Lee County,GA
31.807458,-81.457871,65256,13179,Liberty County,GA
33.792151,-82.448299,7690,13181,Lincoln County,GA
31.749563,-81.74287,16168,13183,Long County,GA
30.833145,-83.268995,118251,13185,Lowndes County,GA
34.56814,-83.998925,33488,13187,Lumpkin County,GA
33.480613,-82.479533,21632,13189,McDuffie County,GA
31.485629,-81.372141,10975,13191,McIntosh County,GA
32.362686,-84.051231,12082,13193,Macon County,GA
34.128526,-83.203737,30120,13195,Madison County,GA
32.359312,-84.528735,7498,13197,Marion County,GA
33.029267,-84.667058,20613,13199,Meriwether County,GA
31.162931,-84.730398,6000,13201,Miller County,GA
31.228997,-84.192038,21755,13205,Mitchell County,GA
33.017404,-83.922837,27957,13207,Monroe County,GA
32.172108,-82.533349,8610,13209,Montgomery County,GA
33.598696,-83.499435,20097,13211,Morgan County,GA
34.797097,-84.73799,39973,13213,Murray County,GA
32.510197,-84.874946,206922,13215,Muscogee County,GA
33.552751,-83.85136,112483,13217,Newton County,GA
33.834125,-83.437728,41799,13219,Oconee County,GA
33.866806,-83.074081,14825,13221,Oglethorpe County,GA
33.92103,-84.867169,168661,13223,Paulding County,GA
32.571324,-83.831978,27981,13225,Peach County,GA
34.456746,-84.490351,33216,13227,Pickens County,GA
31.353998,-82.21037,19716,13229,Pierce County,GA
33.081149,-84.389462,18889,13231,Pike County,GA
33.996015,-85.188338,42853,13233,Polk County,GA
32.238803,-83.481845,9855,13235,Pulaski County,GA
33.32106,-83.37179,22047,13237,Putnam County,GA
31.862938,-85.004798,2235,13239,Quitman County,GA
34.883934,-83.40487,16883,13241,Rabun County,GA
31.762651,-84.752311,6425,13243,Randolph County,GA
33.361486,-82.074998,206607,13245,Richmond County,GA
33.652081,-84.02637,93570,13247,Rockdale County,GA
32.263444,-84.322708,4547,13249,Schley County,GA
32.744751,-81.617585,14067,13251,Screven County,GA
30.93396,-84.867685,9147,13253,Seminole County,GA
33.262348,-84.284905,67306,13255,Spalding County,GA
34.553582,-83.290588,26784,13257,Stephens County,GA
32.073225,-84.834912,5314,13259,Stewart County,GA
32.042266,-84.204294,29616,13261,Sumter County,GA
32.704603,-84.530029,5733,13263,Talbot County,GA
33.559319,-82.875272,1559,13265,Taliaferro County,GA
32.043768,-82.059208,22842,13267,Tattnall County,GA
32.554667,-84.251426,7816,13269,Taylor County,GA
31.913641,-82.931063,12477,13271,Telfair County,GA
31.777191,-84.439446,9185,13273,Terrell County,GA
30.864619,-83.919815,45798,13275,Thomas County,GA
31.457003,-83.525931,41344,13277,Tift County,GA
32.117753,-82.330597,27030,13279,Toombs County,GA
34.902529,-83.732264,12493,13281,Towns County,GA
32.409586,-82.570882,6406,13283,Treutlen County,GA
33.034482,-85.02836,69426,13285,Troup County,GA
31.7248,-83.620319,9006,13287,Turner County,GA
32.665847,-83.425879,8022,13289,Twiggs County,GA
34.833333,-83.989257,24632,13291,Union County,GA
32.881837,-84.292283,27700,13293,Upson County,GA
34.735802,-85.305456,67654,13295,Walker County,GA
33.783887,-83.731829,96673,13297,Walton County,GA
31.050881,-82.421507,36251,13299,Ware County,GA
33.419169,-82.688012,5215,13301,Warren County,GA
32.971843,-82.798112,19988,13303,Washington County,GA
